"Enabled","Enabled"
"API Key","API Key"
"Project Public Key","Project Public Key"
"Serve llms.txt","Serve llms.txt"
"Citecue API Base URL","Citecue API Base URL"
"Allowed API Hosts","Allowed API Hosts"
"Request Timeout (seconds)","Request Timeout (seconds)"
"Connect Timeout (seconds)","Connect Timeout (seconds)"
"Local Cache TTL (seconds)","Local Cache TTL (seconds)"
"Excluded Path Prefixes","Excluded Path Prefixes"
"Debug Logging","Debug Logging"
"Test Connection","Test Connection"
"Testing…","Testing…"
"Connection failed.","Connection failed."
"Connection OK — %1 project(s) found.","Connection OK — %1 project(s) found."
"Connection test failed unexpectedly. Check var/log for details.","Connection test failed unexpectedly. Check var/log for details."
"Verifies the API key against the Citecue API and lists your projects with their public keys.","Verifies the API key against the Citecue API and lists your projects with their public keys."
"Domain","Domain"
"Public Key","Public Key"
"Delivery","Delivery"
"llms.txt","llms.txt"
"Disabled in Citecue","Disabled in Citecue"
"On","On"
"Off","Off"
"Currently selected","Currently selected"
"Use this key","Use this key"
"Selected — save the configuration","Selected — save the configuration"
"Request failed — check the network tab / admin session.","Request failed — check the network tab / admin session."
"Invalid API key — the Citecue API rejected the ck_live_… key.","Invalid API key — the Citecue API rejected the ck_live_… key."
"Could not reach the Citecue API (timeout, DNS or TLS failure).","Could not reach the Citecue API (timeout, DNS or TLS failure)."
